t,v_wind,bat_pct,e_kalan,e_pnr,mass,i_est,v_term,pnr
50.0,3.0,78.72,7.4787,1.6496,1665.0,8.197,11.343,0
51.0,3.0,78.43,7.4504,1.6589,1648.3,8.081,11.348,0
52.0,3.0,78.13,7.4226,1.6674,1631.6,7.966,11.353,0
53.0,3.0,77.84,7.3951,1.675,1614.9,7.852,11.358,0
54.0,3.0,77.56,7.368,1.6819,1598.2,7.738,11.363,0
55.0,3.0,77.28,7.3413,1.688,1581.5,7.625,11.369,0
56.0,3.0,77.0,7.315,1.6933,1564.8,7.512,11.374,0
57.0,3.0,76.73,7.2891,1.6978,1548.1,7.4,11.379,0
58.0,3.0,76.46,7.2636,1.7016,1531.4,7.289,11.384,0
59.0,3.0,76.19,7.2385,1.7047,1514.7,7.178,11.389,0
60.0,3.0,75.93,7.2137,1.7101,1500.0,7.081,11.393,0
61.0,3.0,75.67,7.1889,1.7386,1500.0,7.081,11.386,0
62.0,3.0,75.41,7.1641,1.7671,1500.0,7.081,11.379,0
63.0,3.0,75.15,7.1393,1.7956,1500.0,7.081,11.373,0
64.0,3.0,74.89,7.1146,1.8241,1500.0,7.081,11.366,0
65.0,3.0,74.63,7.0898,1.8526,1500.0,7.081,11.359,0
66.0,3.0,74.37,7.065,1.8811,1500.0,7.081,11.352,0
67.0,3.0,74.11,7.0402,1.9096,1500.0,7.081,11.345,0
68.0,3.0,73.85,7.0154,1.9381,1500.0,7.081,11.339,0
69.0,3.0,73.59,6.9906,1.9666,1500.0,7.081,11.332,0
70.0,3.0,73.32,6.9658,1.9951,1500.0,7.081,11.325,0
71.0,3.0,73.06,6.9411,2.0236,1500.0,7.081,11.318,0
72.0,3.0,72.8,6.9163,2.0522,1500.0,7.081,11.312,0
73.0,3.0,72.54,6.8915,2.0807,1500.0,7.081,11.305,0
74.0,3.0,72.28,6.8667,2.1092,1500.0,7.081,11.299,0
75.0,3.0,72.02,6.8419,2.1377,1500.0,7.081,11.292,0
76.0,3.0,71.76,6.8171,2.1662,1500.0,7.081,11.285,0
77.0,3.0,71.5,6.7924,2.1947,1500.0,7.081,11.279,0
78.0,3.0,71.24,6.7676,2.2232,1500.0,7.081,11.272,0
79.0,3.0,70.98,6.7428,2.2517,1500.0,7.081,11.266,0
80.0,3.0,70.72,6.718,2.2802,1500.0,7.081,11.259,0
81.0,3.0,70.45,6.6932,2.3087,1500.0,7.081,11.253,0
82.0,3.0,70.19,6.6684,2.3372,1500.0,7.081,11.246,0
83.0,3.0,69.93,6.6436,2.3657,1500.0,7.081,11.24,0
84.0,3.0,69.67,6.6189,2.3942,1500.0,7.081,11.234,0
85.0,3.0,69.41,6.5941,2.4227,1500.0,7.081,11.227,0
86.0,3.0,69.15,6.5693,2.4512,1500.0,7.081,11.221,0
87.0,3.0,68.89,6.5445,2.4797,1500.0,7.081,11.215,0
88.0,3.0,68.63,6.5197,2.5082,1500.0,7.081,11.208,0
89.0,3.0,68.37,6.4949,2.5367,1500.0,7.081,11.202,0
90.0,3.0,68.11,6.4702,2.5652,1500.0,7.081,11.196,0
91.0,3.0,67.85,6.4454,2.5937,1500.0,7.081,11.19,0
92.0,3.0,67.59,6.4206,2.6222,1500.0,7.081,11.184,0
93.0,3.0,67.32,6.3958,2.6507,1500.0,7.081,11.178,0
94.0,3.0,67.06,6.371,2.6792,1500.0,7.081,11.172,0
95.0,3.0,66.8,6.3462,2.7077,1500.0,7.081,11.166,0
96.0,3.0,66.54,6.3215,2.7362,1500.0,7.081,11.16,0
97.0,3.0,66.28,6.2967,2.7647,1500.0,7.081,11.154,0
98.0,3.0,66.02,6.2719,2.7932,1500.0,7.081,11.148,0
99.0,3.0,65.76,6.2471,2.8217,1500.0,7.081,11.142,0
100.0,3.0,65.5,6.2223,2.8502,1500.0,7.081,11.136,0
101.0,3.0,65.24,6.1975,2.8502,1500.0,7.081,11.131,0
102.0,3.0,64.98,6.1727,2.8502,1500.0,7.081,11.125,0
103.0,3.0,64.72,6.148,2.8502,1500.0,7.081,11.119,0
104.0,3.0,64.45,6.1232,2.8502,1500.0,7.081,11.114,0
105.0,3.0,64.19,6.0984,2.8502,1500.0,7.081,11.108,0
106.0,3.0,63.93,6.0736,2.8502,1500.0,7.081,11.103,0
107.0,3.0,63.67,6.0488,2.8502,1500.0,7.081,11.097,0
108.0,3.0,63.41,6.024,2.8502,1500.0,7.081,11.092,0
109.0,3.0,63.15,5.9993,2.8502,1500.0,7.081,11.086,0
110.0,3.0,62.89,5.9745,2.8502,1500.0,7.081,11.081,0
111.0,3.0,62.63,5.9497,2.8502,1500.0,7.081,11.075,0
112.0,3.0,62.37,5.9249,2.8502,1500.0,7.081,11.07,0
113.0,3.0,62.11,5.9001,2.8502,1500.0,7.081,11.065,0
114.0,3.0,61.85,5.8753,2.8502,1500.0,7.081,11.06,0
115.0,3.0,61.58,5.8505,2.8502,1500.0,7.081,11.054,0
116.0,3.0,61.32,5.8258,2.8502,1500.0,7.081,11.049,0
117.0,3.0,61.06,5.801,2.8502,1500.0,7.081,11.044,0
118.0,3.0,60.8,5.7762,2.8502,1500.0,7.081,11.039,0
119.0,3.0,60.54,5.7514,2.8502,1500.0,7.081,11.034,0
120.0,3.0,60.28,5.7266,2.8502,1500.0,7.081,11.029,0
121.0,3.0,60.02,5.7018,2.8502,1500.0,7.081,11.024,0
122.0,3.0,59.76,5.6771,2.8502,1500.0,7.081,11.019,0
123.0,3.0,59.5,5.6523,2.8502,1500.0,7.081,11.014,0
124.0,3.0,59.24,5.6275,2.8502,1500.0,7.081,11.01,0
125.0,3.0,58.98,5.6027,2.8502,1500.0,7.081,11.005,0
126.0,3.0,58.71,5.5779,2.8502,1500.0,7.081,11.0,0
127.0,3.0,58.45,5.5531,2.8502,1500.0,7.081,10.995,0
128.0,3.0,58.19,5.5283,2.8502,1500.0,7.081,10.991,0
129.0,3.0,57.93,5.5036,2.8502,1500.0,7.081,10.986,0
130.0,3.0,57.67,5.4788,2.8502,1500.0,7.081,10.981,0
131.0,3.0,57.41,5.454,2.8502,1500.0,7.081,10.977,0
132.0,3.0,57.15,5.4292,2.8502,1500.0,7.081,10.972,0
133.0,3.0,56.89,5.4044,2.8502,1500.0,7.081,10.968,0
134.0,3.0,56.63,5.3796,2.8502,1500.0,7.081,10.963,0
135.0,3.0,56.37,5.3549,2.8502,1500.0,7.081,10.959,0
136.0,3.0,56.11,5.3301,2.8502,1500.0,7.081,10.955,0
137.0,3.0,55.85,5.3053,2.8502,1500.0,7.081,10.95,0
138.0,3.0,55.58,5.2805,2.8502,1500.0,7.081,10.946,0
139.0,3.0,55.32,5.2557,2.8502,1500.0,7.081,10.942,0
140.0,3.0,55.06,5.2309,2.8502,1500.0,7.081,10.938,0
141.0,3.0,54.8,5.2062,2.8502,1500.0,7.081,10.933,0
142.0,3.0,54.54,5.1814,2.8502,1500.0,7.081,10.929,0
143.0,3.0,54.28,5.1566,2.8502,1500.0,7.081,10.925,0
144.0,3.0,54.02,5.1318,2.8502,1500.0,7.081,10.921,0
145.0,3.0,53.76,5.107,2.8502,1500.0,7.081,10.917,0
146.0,3.0,53.5,5.0822,2.8502,1500.0,7.081,10.913,0
147.0,3.0,53.24,5.0574,2.8502,1500.0,7.081,10.909,0
148.0,3.0,52.98,5.0327,2.8502,1500.0,7.081,10.905,0
149.0,3.0,52.71,5.0079,2.8502,1500.0,7.081,10.901,0
150.0,3.0,52.45,4.9831,2.8502,1500.0,7.081,10.897,0
151.0,3.0,52.19,4.9583,2.8502,1500.0,7.081,10.893,0
152.0,3.0,51.93,4.9335,2.8502,1500.0,7.081,10.889,0
153.0,3.0,51.67,4.9087,2.8502,1500.0,7.081,10.885,0
154.0,3.0,51.41,4.884,2.8502,1500.0,7.081,10.881,0
155.0,3.0,51.15,4.8592,2.8502,1500.0,7.081,10.877,0
156.0,3.0,50.89,4.8344,2.8502,1500.0,7.081,10.874,0
157.0,3.0,50.63,4.8096,2.8502,1500.0,7.081,10.87,0
158.0,3.0,50.37,4.7848,2.8502,1500.0,7.081,10.866,0
159.0,3.0,50.11,4.76,2.8502,1500.0,7.081,10.862,0
160.0,3.0,49.84,4.7352,2.8502,1500.0,7.081,10.859,0
161.0,3.0,49.58,4.7105,2.8502,1500.0,7.081,10.855,0
162.0,3.0,49.32,4.6857,2.8502,1500.0,7.081,10.851,0
163.0,3.0,49.06,4.6609,2.8502,1500.0,7.081,10.847,0
164.0,3.0,48.8,4.6361,2.8502,1500.0,7.081,10.844,0
165.0,3.0,48.54,4.6113,2.8502,1500.0,7.081,10.84,0
166.0,3.0,48.28,4.5865,2.8502,1500.0,7.081,10.836,0
167.0,3.0,48.02,4.5618,2.8502,1500.0,7.081,10.833,0
168.0,3.0,47.76,4.537,2.8502,1500.0,7.081,10.829,0
169.0,3.0,47.5,4.5122,2.8502,1500.0,7.081,10.825,0
170.0,3.0,47.24,4.4874,2.8502,1500.0,7.081,10.822,0
171.0,3.0,46.97,4.4626,2.8502,1500.0,7.081,10.818,0
172.0,3.0,46.71,4.4378,2.8502,1500.0,7.081,10.814,0
173.0,3.0,46.45,4.4131,2.8502,1500.0,7.081,10.811,0
174.0,3.0,46.19,4.3883,2.8502,1500.0,7.081,10.807,0
175.0,3.0,45.93,4.3635,2.8502,1500.0,7.081,10.803,0
176.0,3.0,45.67,4.3387,2.8502,1500.0,7.081,10.8,0
177.0,3.0,45.41,4.3139,2.8502,1500.0,7.081,10.796,0
178.0,3.0,45.15,4.2891,2.8502,1500.0,7.081,10.792,0
179.0,3.0,44.89,4.2643,2.8502,1500.0,7.081,10.788,0
180.0,3.0,44.63,4.2396,2.8502,1500.0,7.081,10.785,0
181.0,3.0,44.37,4.2148,2.8502,1500.0,7.081,10.781,0
182.0,3.0,44.11,4.19,2.8502,1500.0,7.081,10.777,0
183.0,3.0,43.84,4.1652,2.8502,1500.0,7.081,10.773,0
184.0,3.0,43.58,4.1404,2.8502,1500.0,7.081,10.77,0
185.0,3.0,43.32,4.1156,2.8502,1500.0,7.081,10.766,0
186.0,3.0,43.06,4.0909,2.8502,1500.0,7.081,10.762,0
